2025-01-21 17:12:20 - INFO - Logging has been set up successfully.
2025-01-21 17:12:26 - INFO - Logging set up for CAT Model Training
2025-01-21 17:15:22 - INFO - Starting Optuna Trial 0: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:21:03 - INFO - Starting Optuna Trial 0: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:21:20 - INFO - Starting Optuna Trial 1: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:21:42 - INFO - Starting Optuna Trial 2: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:21:54 - INFO - Starting Optuna Trial 3: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:22:09 - INFO - Starting Optuna Trial 4: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:22:23 - INFO - Starting Optuna Trial 5: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:23:08 - INFO - Starting Optuna Trial 6: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:23:34 - INFO - Starting Optuna Trial 7: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:23:57 - INFO - Starting Optuna Trial 8: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:24:08 - INFO - Starting Optuna Trial 9: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:24:51 - INFO - Starting Optuna Trial 10: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:24:59 - INFO - Starting Optuna Trial 11: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:25:12 - INFO - Starting Optuna Trial 12: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:25:38 - INFO - Starting Optuna Trial 13: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:25:57 - INFO - Starting Optuna Trial 14: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:26:15 - INFO - Starting Optuna Trial 15: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:26:29 - INFO - Starting Optuna Trial 16: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:26:47 - INFO - Starting Optuna Trial 17: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:26:56 - INFO - Starting Optuna Trial 18: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:27:27 - INFO - Starting Optuna Trial 19: YetiRank:top=2, Metric: NDCG:top=2
2025-01-21 17:27:55 - INFO - Starting Optuna Trial 0: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:28:14 - INFO - Starting Optuna Trial 1: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:28:33 - INFO - Starting Optuna Trial 2: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:28:41 - INFO - Starting Optuna Trial 3: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:28:50 - INFO - Starting Optuna Trial 4: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:29:05 - INFO - Starting Optuna Trial 5: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:29:23 - INFO - Starting Optuna Trial 6: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:29:41 - INFO - Starting Optuna Trial 7: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:29:56 - INFO - Starting Optuna Trial 8: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:30:15 - INFO - Starting Optuna Trial 9: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:30:30 - INFO - Starting Optuna Trial 10: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:31:19 - INFO - Starting Optuna Trial 11: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:31:35 - INFO - Starting Optuna Trial 12: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:31:49 - INFO - Starting Optuna Trial 13: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:32:01 - INFO - Starting Optuna Trial 14: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:32:09 - INFO - Starting Optuna Trial 15: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:32:39 - INFO - Starting Optuna Trial 16: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:32:56 - INFO - Starting Optuna Trial 17: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:33:09 - INFO - Starting Optuna Trial 18: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:33:37 - INFO - Starting Optuna Trial 19: YetiRank:top=3, Metric: NDCG:top=3
2025-01-21 17:34:03 - INFO - Starting Optuna Trial 0: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:34:29 - INFO - Starting Optuna Trial 1: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:34:37 - INFO - Starting Optuna Trial 2: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:34:53 - INFO - Starting Optuna Trial 3: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:35:14 - INFO - Starting Optuna Trial 4: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:35:45 - INFO - Starting Optuna Trial 5: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:36:04 - INFO - Starting Optuna Trial 6: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:36:22 - INFO - Starting Optuna Trial 7: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:36:36 - INFO - Starting Optuna Trial 8: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:36:58 - INFO - Starting Optuna Trial 9: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:37:15 - INFO - Starting Optuna Trial 10: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:37:40 - INFO - Starting Optuna Trial 11: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:38:00 - INFO - Starting Optuna Trial 12: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:38:10 - INFO - Starting Optuna Trial 13: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:38:25 - INFO - Starting Optuna Trial 14: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:38:42 - INFO - Starting Optuna Trial 15: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:38:56 - INFO - Starting Optuna Trial 16: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:39:13 - INFO - Starting Optuna Trial 17: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:39:35 - INFO - Starting Optuna Trial 18: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:39:49 - INFO - Starting Optuna Trial 19: YetiRank:top=4, Metric: NDCG:top=4
2025-01-21 17:40:28 - INFO - Starting Optuna Trial 0: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:40:45 - INFO - Starting Optuna Trial 1: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:41:07 - INFO - Starting Optuna Trial 2: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:41:20 - INFO - Starting Optuna Trial 3: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:41:30 - INFO - Starting Optuna Trial 4: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:41:42 - INFO - Starting Optuna Trial 5: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:42:01 - INFO - Starting Optuna Trial 6: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:42:23 - INFO - Starting Optuna Trial 7: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:42:29 - INFO - Starting Optuna Trial 8: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:42:46 - INFO - Starting Optuna Trial 9: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:43:00 - INFO - Starting Optuna Trial 10: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:43:07 - INFO - Starting Optuna Trial 11: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:43:17 - INFO - Starting Optuna Trial 12: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:43:30 - INFO - Starting Optuna Trial 13: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:43:35 - INFO - Starting Optuna Trial 14: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:43:52 - INFO - Starting Optuna Trial 15: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:44:02 - INFO - Starting Optuna Trial 16: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:44:11 - INFO - Starting Optuna Trial 17: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:44:25 - INFO - Starting Optuna Trial 18: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:44:37 - INFO - Starting Optuna Trial 19: QueryRMSE, Metric: NDCG:top=1
2025-01-21 17:44:56 - INFO - Starting Optuna Trial 0: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:45:09 - INFO - Starting Optuna Trial 1: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:45:37 - INFO - Starting Optuna Trial 2: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:46:04 - INFO - Starting Optuna Trial 3: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:46:14 - INFO - Starting Optuna Trial 4: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:46:32 - INFO - Starting Optuna Trial 5: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:46:43 - INFO - Starting Optuna Trial 6: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:46:53 - INFO - Starting Optuna Trial 7: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:47:03 - INFO - Starting Optuna Trial 8: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:47:36 - INFO - Starting Optuna Trial 9: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:47:46 - INFO - Starting Optuna Trial 10: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:48:09 - INFO - Starting Optuna Trial 11: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:48:16 - INFO - Starting Optuna Trial 12: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:48:54 - INFO - Starting Optuna Trial 13: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:49:00 - INFO - Starting Optuna Trial 14: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:49:12 - INFO - Starting Optuna Trial 15: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:49:29 - INFO - Starting Optuna Trial 16: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:50:13 - INFO - Starting Optuna Trial 17: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:50:27 - INFO - Starting Optuna Trial 18: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:50:58 - INFO - Starting Optuna Trial 19: QueryRMSE, Metric: NDCG:top=2
2025-01-21 17:51:34 - INFO - Starting Optuna Trial 0: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:52:16 - INFO - Starting Optuna Trial 1: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:52:22 - INFO - Starting Optuna Trial 2: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:52:45 - INFO - Starting Optuna Trial 3: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:52:55 - INFO - Starting Optuna Trial 4: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:53:03 - INFO - Starting Optuna Trial 5: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:53:23 - INFO - Starting Optuna Trial 6: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:53:28 - INFO - Starting Optuna Trial 7: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:53:36 - INFO - Starting Optuna Trial 8: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:54:07 - INFO - Starting Optuna Trial 9: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:54:24 - INFO - Starting Optuna Trial 10: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:54:32 - INFO - Starting Optuna Trial 11: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:54:39 - INFO - Starting Optuna Trial 12: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:54:47 - INFO - Starting Optuna Trial 13: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:54:53 - INFO - Starting Optuna Trial 14: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:55:07 - INFO - Starting Optuna Trial 15: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:55:18 - INFO - Starting Optuna Trial 16: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:55:32 - INFO - Starting Optuna Trial 17: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:55:51 - INFO - Starting Optuna Trial 18: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:56:07 - INFO - Starting Optuna Trial 19: QueryRMSE, Metric: NDCG:top=3
2025-01-21 17:56:32 - INFO - Starting Optuna Trial 0: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:56:46 - INFO - Starting Optuna Trial 1: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:57:11 - INFO - Starting Optuna Trial 2: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:57:18 - INFO - Starting Optuna Trial 3: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:57:34 - INFO - Starting Optuna Trial 4: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:58:01 - INFO - Starting Optuna Trial 5: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:58:13 - INFO - Starting Optuna Trial 6: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:58:22 - INFO - Starting Optuna Trial 7: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:58:28 - INFO - Starting Optuna Trial 8: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:58:37 - INFO - Starting Optuna Trial 9: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:59:08 - INFO - Starting Optuna Trial 10: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:59:21 - INFO - Starting Optuna Trial 11: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:59:36 - INFO - Starting Optuna Trial 12: QueryRMSE, Metric: NDCG:top=4
2025-01-21 17:59:56 - INFO - Starting Optuna Trial 13: QueryRMSE, Metric: NDCG:top=4
2025-01-21 18:00:17 - INFO - Starting Optuna Trial 14: QueryRMSE, Metric: NDCG:top=4
2025-01-21 18:00:32 - INFO - Starting Optuna Trial 15: QueryRMSE, Metric: NDCG:top=4
2025-01-21 18:00:39 - INFO - Starting Optuna Trial 16: QueryRMSE, Metric: NDCG:top=4
2025-01-21 18:00:54 - INFO - Starting Optuna Trial 17: QueryRMSE, Metric: NDCG:top=4
2025-01-21 18:01:13 - INFO - Starting Optuna Trial 18: QueryRMSE, Metric: NDCG:top=4
2025-01-21 18:01:25 - INFO - Starting Optuna Trial 19: QueryRMSE, Metric: NDCG:top=4
2025-01-21 20:14:18 - INFO - Logging set up for CAT Model Training
2025-01-22 09:36:50 - INFO - Logging set up for CAT Model Training
2025-01-22 10:00:45 - INFO - Logging set up for CAT Model Training
